Search_method Problem Max_evals Run Score
random_search knapPI_13_20_1000_4 1000 6 640
random_search knapPI_13_20_1000_4 1000 7 480
random_search knapPI_13_20_1000_4 1000 8 -1156
random_search knapPI_13_20_1000_4 1000 9 -1236
random_search knapPI_16_20_1000_4 1000 0 -1316
random_search knapPI_16_20_1000_4 1000 1 2527
random_search knapPI_16_20_1000_4 1000 2 -2858
random_search knapPI_16_20_1000_4 1000 3 2051
random_search knapPI_16_20_1000_4 1000 4 -2507
random_search knapPI_16_20_1000_4 1000 5 2278
random_search knapPI_16_20_1000_4 1000 6 -2514
random_search knapPI_16_20_1000_4 1000 7 -2507
random_search knapPI_16_20_1000_4 1000 8 2267
random_search knapPI_16_20_1000_4 1000 9 -2915
random_search knapPI_11_1000_1000_4 1000 0 -271800
random_search knapPI_11_1000_1000_4 1000 1 -274160
random_search knapPI_11_1000_1000_4 1000 2 -265840
random_search knapPI_11_1000_1000_4 1000 3 -273000
random_search knapPI_11_1000_1000_4 1000 4 -276860
random_search knapPI_11_1000_1000_4 1000 5 -265940
random_search knapPI_11_1000_1000_4 1000 6 -274900
random_search knapPI_11_1000_1000_4 1000 7 -273780
random_search knapPI_11_1000_1000_4 1000 8 -270580
random_search knapPI_11_1000_1000_4 1000 9 -272260
random_search knapPI_13_1000_1000_4 1000 0 -197436
random_search knapPI_13_1000_1000_4 1000 1 -197267
random_search knapPI_13_1000_1000_4 1000 2 -199570
random_search knapPI_13_1000_1000_4 1000 3 -198501
random_search knapPI_13_1000_1000_4 1000 4 -197571
random_search knapPI_13_1000_1000_4 1000 5 -202331
random_search knapPI_13_1000_1000_4 1000 6 -200754
random_search knapPI_13_1000_1000_4 1000 7 -198620
random_search knapPI_13_1000_1000_4 1000 8 -198749
random_search knapPI_13_1000_1000_4 1000 9 -198455
random_search knapPI_16_1000_1000_4 1000 0 -368779
random_search knapPI_16_1000_1000_4 1000 1 -369129
random_search knapPI_16_1000_1000_4 1000 2 -362632
random_search knapPI_16_1000_1000_4 1000 3 -367565
random_search knapPI_16_1000_1000_4 1000 4 -366399
random_search knapPI_16_1000_1000_4 1000 5 -364455
random_search knapPI_16_1000_1000_4 1000 6 -371992
random_search knapPI_16_1000_1000_4 1000 7 -363409
random_search knapPI_16_1000_1000_4 1000 8 -373104
random_search knapPI_16_1000_1000_4 1000 9 -364780
random_search knapPI_16_1000_1000_3 1000 0 -369047
random_search knapPI_16_1000_1000_3 1000 1 -366270
random_search knapPI_16_1000_1000_3 1000 2 -357564
random_search knapPI_16_1000_1000_3 1000 3 -359145
random_search knapPI_16_1000_1000_3 1000 4 -359046
random_search knapPI_16_1000_1000_3 1000 5 -367848
random_search knapPI_16_1000_1000_3 1000 6 -367186
random_search knapPI_16_1000_1000_3 1000 7 -358450
random_search knapPI_16_1000_1000_3 1000 8 -366999
random_search knapPI_16_1000_1000_3 1000 9 -360413
